ImageId,Label
0,6
1,9
2,2
3,1
4,9
5,0
6,1
7,9
8,2
9,1
10,9
11,9
12,2
13,9
14,9
15,6
16,1
17,1
18,9
19,5
20,9
21,6
22,5
23,9
24,9
25,1
26,6
27,0
28,0
29,1
30,5
31,1
32,0
33,9
34,6
35,2
36,0
37,6
38,6
39,5
40,9
41,9
42,6
43,8
44,9
45,1
46,9
47,9
48,9
49,9
50,8
51,9
52,5
53,5
54,9
55,9
56,9
57,8
58,9
59,6
60,6
61,1
62,0
63,3
64,0
65,0
66,9
67,1
68,9
69,9
70,6
71,9
72,1
73,1
74,0
75,0
76,0
77,9
78,5
79,9
80,8
81,2
82,8
83,8
84,8
85,3
86,9
87,6
88,7
89,1
90,0
91,0
92,0
93,9
94,9
95,9
96,0
97,9
98,0
99,1
100,9
101,3
102,6
103,8
104,8
105,9
106,8
107,9
108,9
109,0
110,9
111,2
112,0
113,9
114,7
115,9
116,9
117,9
118,5
119,9
120,0
121,2
122,0
123,9
124,1
125,1
126,9
127,3
128,0
129,0
130,9
131,8
132,6
133,8
134,9
135,1
136,8
137,2
138,2
139,2
140,1
141,1
142,7
143,1
144,1
145,9
146,7
147,8
148,0
149,9
150,6
151,0
152,0
153,5
154,9
155,9
156,9
157,2
158,1
159,9
160,3
161,6
162,0
163,2
164,9
165,5
166,0
167,0
168,9
169,5
170,2
171,6
172,9
173,9
174,9
175,5
176,1
177,1
178,9
179,2
180,0
181,0
182,9
183,7
184,6
185,2
186,9
187,1
188,9
189,0
190,1
191,1
192,9
193,1
194,6
195,0
196,8
197,9
198,9
199,9
200,0
201,2
202,9
203,9
204,9
205,1
206,8
207,9
208,0
209,2
210,9
211,1
212,0
213,9
214,9
215,1
216,0
217,9
218,1
219,1
220,9
221,1
222,9
223,9
224,5
225,9
226,9
227,6
228,0
229,1
230,5
231,0
232,9
233,0
234,1
235,1
236,8
237,2
238,1
239,6
240,9
241,9
242,9
243,9
244,8
245,9
246,9
247,5
248,9
249,0
250,7
251,9
252,6
253,9
254,6
255,2
256,3
257,4
258,1
259,5
260,0
261,9
262,0
